,listing_id,id,date,reviewer_id,reviewer_name,comments
19432,1222946856,1831369539,2023-12-10,546363044,Maryann,Thomas and Justin are the best hosts!
10547,35914565,595555879,2020-01-20,328766917,Samuel,Very nice place to stay and be comfortable definitely recommend!
3213,11253948,431880082,2021-07-10,96427597,Gene,⭐️⭐️⭐️⭐️⭐️
491,3820211,364881449,2018-12-31,177580301,Rick,"Great location, with off-street parking.  Full size kitchen, with en suite washer and dryer is a tremendous benefit."
21230,-1374441337,-2040768205,2023-07-16,517605992,Eric,Blake was a great host. Very responsive and accommodating.
19297,-2143993502,1495533598,2023-02-10,466765496,Yusuf,Everything was great
6550,25549565,331094853,2018-10-01,106462631,Benjamin,I had a great stay! Very cozy and quiet place.
15290,50207226,-476678969,2023-11-01,34476334,Carrie-Anne,"Overall it was a good stay and everything was as described. There was plenty of space and the apartment itself was clean. <br/>It was  difficult walking my dog in the area because the particular block where it's located was covered in a unusual (unusual in that there is always some trash on the ground in any city, but this was far more than expected) amount of trash and broken glass everywhere. The host was very responsive which was great, but a couple of times it was clear that she was talking about another unit when I asked her questions."
16349,52359404,2094032510,2022-06-27,129617138,Desiree,This quiet and tranquil home is perfect for a home filled getaway in the beautiful mountains of Albany!!! Great comfort in this three bedroom home where you can eat out or cook in!  It’s so perfect!!!  I had one question and the host got back to me immediately!  What a pleasurable and comfortable stay!  It felt like home…
19931,-1197600229,1214539539,2023-06-11,60552249,Courtney,"Rabia's apartment was fantastic and just as described. She provided us with great recommendations for restaurants nearby and clear instructions for entry and parking. The apartment was charming, clean and comfy. We would definitely stay again when back in Albany."
15488,50890336,-1304290700,2021-08-26,45354,Noble,"The place was quite nice and very lovely. Easy to use lockbox. Easy walk up, 1 flight. Right next to great restaurants and bars. Definitely located in a hip area."
12570,43736299,2058549020,2023-08-15,88340319,Mary,"Convenient location for a business trip for 2 colleagues and me, easy to find."
16398,52359404,87579284,2023-10-15,262778822,Jacquelin,"This is a great stay. It is a lovely and exceptionally clean home with windows throughout to make it bright and cheery and yet it is brilliantly staged with blackout curtains in all the bedrooms to make sleeping peaceful. It is an older  home that has been furnished and decorated thoughtfully to make it comfortable and functional. There were plenty of clean white towels and the white bedding let's you know it's all freshly laundered. There is driveway parking,  and it is a convenient location to multiple universities and Albany area transit. Having an upstairs neighbor does come with some noise, but we would not hesitate to stay here again. The host was so responsive when we had questions and it was just overall a great stay."
16656,52619545,-226803316,2021-12-18,135444499,Barb,This was a good one night stay at Diana’s place. The space was perfect for us to visit with our daughter after grabbing some local vegan food Little Anthony’s. We appreciate being able to have our dogs along and had space for the crates where they are used to sleeping. The area has sidewalks and we walked the dogs while we enjoyed the Christmas decorations throughout the neighborhood.
1978,9005989,1452835430,2021-09-28,265209258,Michael,Absolutely great stay in Albany! Walking distance from so much!
8337,28722270,-1426191993,2022-09-08,26845161,Valarie,Awesome place to stay!!!!!
3268,11639446,96118437,2016-08-21,22708792,Jess,"Adam was a great host, going above and beyond with meals special made just for me and to go lunches! Warm and welcoming, would stay again!"
10952,38321579,-1942532801,2022-03-18,406370685,Tameil,A home away from home 😊
9729,33558235,449782374,2019-05-07,182252868,Mary Ann,"Earl's place is fabulous! Clean, architecturally interesting, in a cool, funky neighborhood and with more amenities than I have ever seen. He is very quick to communicate and was very accommodating when I showed up early and confused my check-out date! Even though there is not guaranteed assigned parking, we had no problems finding a spot right in front of the house. Overall, this was truly one of THE best airbnb experiences that I have had."
6760,25549565,539972367,2019-10-02,25311825,Julie,Clean and comfy place. Central location. Host is very responsive. I’ve stayed here multiple times!
